"WVHT","SwH","SwP","WWH","WWP","SwD","WWD","Steepness","APD","MWD","datetime","WDIR","WSPD","GST","DPD","PRES","ATMP","WTMP","DEWP"
"2.4","2.3","14.8","0.6","4","NW","E","SWELL","8","313","2024-11-04 01:40:00","100","5","7","15","1016.4","26.5","27.2",NULL
"2.8","2.7","14.8","0.7","4.2","WNW","E","SWELL","8.8","299","2024-11-04 01:10:00","100","6","7","14.666666666666666","1016.3","26.4","27.3",NULL
"2.6","2.5","13.8","0.7","5","WNW","ESE","SWELL","8.4","299","2024-11-04 00:40:00","100","6","8","14.333333333333334","1016.6","26.4","27.3",NULL
"2.6","2.5","14.8","0.6","4.2","WNW","E","SWELL","8.5","299","2024-11-04 00:10:00","100","5","7","15","1016.8","26.3","27.3",NULL
"3.2","3.1","14.8","0.6","4.3","NW","E","SWELL","9.9","309","2024-11-03 23:40:00","100","6","7","15","1017.1","26.4","27.3",NULL
"2.6","2.6","14.8","0.5","4.5","NW","ESE","SWELL","8.9","317","2024-11-03 23:10:00","100","5","7","15","1017.6","26.4","27.2",NULL
"2.7","2.6","14.8","0.5","4.5","NW","E","SWELL","9","307","2024-11-03 22:40:00","110","5","7","15","1018","26.5","27.2",NULL
"2.8","2.7","14.8","0.6","4.8","NW","E","SWELL","9","308","2024-11-03 22:10:00","100","5","7","15","1018.5","26.5","27.2",NULL
"3","2.9","14.8","0.5","4","NW","ESE","SWELL","9.6","304","2024-11-03 21:40:00","110","5","7","15","1019","26.5","27.2",NULL
"2.7","2.6","14.8","0.5","4.2","NW","ESE","SWELL","8.9","306","2024-11-03 21:10:00","110","5","8","15.333333333333334","1019.1","26.5","27.2",NULL
"3.2","3.2","16","0.5","4","NW","ESE","SWELL","10","313","2024-11-03 20:40:00","110","5","7","15.666666666666666","1019.4","26.6","27.2",NULL
"3","3","14.8","0.6","4.3","NW","ESE","SWELL","9.3","311","2024-11-03 20:10:00","110","5","7","15","1019.3","26.4","27.1",NULL
"3","3","14.8","0.4","4","NW","ESE","SWELL","10","304","2024-11-03 19:40:00","120","5","6","15","1019.3","26.4","27.1",NULL
"3.1","3.1","14.8","0.6","4.8","NW","E","SWELL","9.6","309","2024-11-03 19:10:00","110","5","7","15.333333333333334","1019","26.4","27.1",NULL
"2.8","2.8","16","0.6","5","NW","ESE","SWELL","9.4","312","2024-11-03 18:40:00","110","5","8","16","1018.6","26.3","27.1",NULL
"3","3","16","0.5","4.3","NW","E","SWELL","9.8","311","2024-11-03 18:10:00","110","5","7","16","1018.2","26.1","27.1",NULL
"3.3","3.3","16","0.4","3.7","NW","ESE","SWELL","10.1","314","2024-11-03 17:40:00","90","3","5","15.666666666666666","1017.9","25.8","27.1",NULL
"3.4","3.3","14.8","0.4","4","NW","ESE","SWELL","10","313","2024-11-03 17:10:00","100","4","6","15.333333333333334","1017.5","25.6","27.1",NULL
"3.1","3","16","0.8","5.6","NW","E","SWELL","9.5","311","2024-11-03 16:40:00","110","6","8","16","1017.2","25.4","27.1",NULL
"3.1","3.1","16","0.5","4.2","NW","E","SWELL","9.4","304","2024-11-03 16:10:00","120","5","7","16","1016.9","26.1","27.1",NULL
"3.3","3.2","16","0.5","3.1","NW","ESE","SWELL","9.7","307","2024-11-03 15:40:00","120","4","7","16","1016.7","25.9","27.1",NULL
"2.9","2.9","16","0.5","4","NW","E","SWELL","8.9","309","2024-11-03 15:10:00","120","4","6","16","1016.8","25.9","27.1",NULL
"3.1","3.1","16","0.6","4","NW","ESE","SWELL","9.5","304","2024-11-03 14:40:00","120","5","6","16","1016.8","25.9","27.1",NULL
"3.4","3.4","16","0.4","3.6","NW","ESE","SWELL","9.7","316","2024-11-03 14:10:00","120","4","6","16","1016.8","25.8","27.1",NULL
"3","2.9","16","0.5","4.2","NW","E","SWELL","9.1","310","2024-11-03 13:40:00","120","4","7","16","1016.6","25.8","27.1",NULL
"3.2","3.1","16","0.6","4.2","NW","E","SWELL","9.2","304","2024-11-03 13:10:00","120","5","7","16","1016.6","25.9","27.1",NULL
"2.5","2.4","16","0.7","4.5","WNW","E","SWELL","8.3","303","2024-11-03 12:40:00","120","5","8","16","1016.8","25.9","27.1",NULL
"3","2.9","16","0.7","5.3","NW","E","SWELL","9.5","314","2024-11-03 12:10:00","110","6","8","16","1016.9","25.9","27.1",NULL
"3","2.9","16","0.6","4.2","NW","ESE","SWELL","9.6","316","2024-11-03 11:40:00","120","5","8","16.333333333333332","1017","26","27.1",NULL
"2.5","2.4","17.4","0.6","4.3","NW","E","SWELL","8.3","325","2024-11-03 11:10:00","110","5","7","17","1017.3","26.1","27.1",NULL
"2.6","2.5","17.4","0.5","4.2","NW","E","SWELL","8.9","318","2024-11-03 10:40:00","120","5","7","16.666666666666668","1017.4","26.1","27.1",NULL
"2.7","2.6","16","0.5","4.3","NW","ENE","SWELL","8.7","320","2024-11-03 10:10:00","120","5","7","16.333333333333332","1017.6","26.2","27.1",NULL
"2.4","2.4","17.4","0.4","3.7","WNW","ENE","SWELL","8.4","300","2024-11-03 09:40:00","120","4","6","16.666666666666668","1017.8","26.1","27.1",NULL
"2.4","2.3","16","0.5","4.3","NW","E","SWELL","8.5","315","2024-11-03 09:10:00","120","5","6","16","1017.8","26.1","27.1",NULL
"2.2","2.1","16","0.4","4.3","NW","E","SWELL","8.1","316","2024-11-03 08:40:00","110","5","6","15.666666666666666","1017.9","26.1","27.1",NULL
"2.2","2.2","14.8","0.4","3.8","NW","ENE","SWELL","8.2","311","2024-11-03 08:10:00","110","5","6","14","1017.9","26.1","27.1",NULL
"2.3","2.2","9.1","0.4","3.6","E","E","AVERAGE","8","86","2024-11-03 07:10:00","100","4","6","11","1017.7","26.2","27.1",NULL
"2.3","2.2","14.8","0.5","3.8","NW","E","SWELL","8.2","316","2024-11-03 06:40:00","110","5","7","15","1017.4","26.2","27.1",NULL
"2.5","2.4","14.8","0.5","3.8","NNW","E","SWELL","8.1","331","2024-11-03 05:10:00","100","5","6","15","1017","26","27.2",NULL
"2.5","2.5","14.8","0.5","3.4","NW","E","SWELL","7.8","316","2024-11-03 04:40:00","110","5","6","15","1016.7","26.3","27.1",NULL
"2.6","2.6","14.8","0.4","3.8","NW","ESE","SWELL","8.4","306","2024-11-03 04:10:00","110","4","6","14.666666666666666","1016.4","26.3","27.1",NULL
"2.4","2.4","13.8","0.5","4","NW","E","SWELL","7.7","320","2024-11-03 03:40:00","100","3","5","14.333333333333334","1016.1","26.1","27.2",NULL
"2.6","2.6","14.8","0.5","3.6","NW","E","SWELL","7.9","311","2024-11-03 03:10:00","80","3","5","15.333333333333334","1015.9","25.5","27.1",NULL
"2.3","2.3","16","0.5","3.8","NW","ESE","SWELL","7.2","314","2024-11-03 02:40:00","100","4","6","15.666666666666666","1015.8","26.3","27.2",NULL
"2.7","2.6","14.8","0.5","4","NW","ENE","SWELL","7.8","317","2024-11-03 02:10:00","110","4","6","12.666666666666666","1015.7","26.3","27.2",NULL
"2.6","2.6","8.3","0.6","4.2","E","ESE","STEEP","7.6","91","2024-11-03 01:40:00","110","5","7","10.666666666666666","1015.6","26.4","27.2",NULL
"2.8","2.7","16","0.7","4.8","WNW","ENE","SWELL","8","303","2024-11-03 01:10:00","120","5","7","16","1015.5","26.3","27.2",NULL
"2.5","2.5","16","0.6","4.2","NW","E","SWELL","7.5","319","2024-11-03 00:40:00","120","5","7","15.666666666666666","1015.8","26.3","27.2",NULL
"2.7","2.6","14.8","0.7","4.8","WNW","ENE","SWELL","7.7","301","2024-11-03 00:10:00","110","5","7","15.333333333333334","1015.9","26.3","27.2",NULL
"2.7","2.6","16","0.7","4.2","WNW","E","SWELL","7.9","297","2024-11-02 23:40:00","110","5","7","16","1016.3","26.2","27.2",NULL
"2.7","2.6","16","0.7","4.5","NW","ENE","SWELL","8.1","314","2024-11-02 23:10:00","110","5","7","16","1016.8","26.2","27.2",NULL
"2.7","2.6","16","0.8","5.3","NW","ENE","SWELL","7.9","309","2024-11-02 22:40:00","110","6","7","14","1017.1","26.2","27.1",NULL
"2.6","2.5","10","0.8","4.8","ESE","E","AVERAGE","7.7","102","2024-11-02 22:10:00","110","6","7","12","1017.5","26.2","27.1",NULL
"3.1","3","16","0.8","3.8","NW","E","SWELL","8.6","306","2024-11-02 21:40:00","100","6","7","16","1018.2","26.2","27.1",NULL
"2.7","2.6","16","0.8","4.3","NW","E","SWELL","7.9","319","2024-11-02 21:10:00","100","6","8","16","1018.5","26.3","27.1",NULL
"3.2","3.1","16","0.9","5.6","NW","E","SWELL","8.8","310","2024-11-02 20:40:00","100","6","8","16","1018.5","26.3","27.1",NULL
"2.9","2.8","16","0.8","5.3","NW","E","SWELL","8.5","315","2024-11-02 20:10:00","100","6","8","15.666666666666666","1018.8","26.3","27.1",NULL
"2.9","2.8","14.8","0.7","4.3","NW","E","SWELL","8.5","308","2024-11-02 19:40:00","100","5","7","15.333333333333334","1018.9","26.3","27.1",NULL
"2.9","2.8","16","0.8","5","NW","E","SWELL","8.2","304","2024-11-02 19:10:00","110","6","8","16","1019","26.3","27.1",NULL
"3","2.9","16","0.8","4.8","NW","ESE","SWELL","8.3","313","2024-11-02 18:40:00","100","6","7","16","1018.8","26.2","27.1",NULL
"2.7","2.5","16","1","5","NW","E","SWELL","7.8","312","2024-11-02 18:10:00","110","6","8","15.666666666666666","1018.7","26.2","27.1",NULL
"3","3","14.8","0.6","4.5","NW","E","SWELL","8.5","312","2024-11-02 17:40:00","100","5","8","15.333333333333334","1018.4","26.1","27",NULL
"2.9","2.8","16","0.7","4.3","WNW","E","SWELL","8.1","303","2024-11-02 17:10:00","100","5","7","16","1018.1","26","27",NULL
"3.3","3.2","16","0.8","4.5","NW","ENE","SWELL","8.5","309","2024-11-02 16:40:00","100","5","8","16","1017.9","25.9","27",NULL
"3","2.8","16","0.9","4.8","WNW","E","SWELL","7.9","301","2024-11-02 16:10:00","110","5","8","16.333333333333332","1017.9","25.9","27",NULL
"3.3","3.2","17.4","0.8","5","NW","E","SWELL","8.3","307","2024-11-02 15:40:00","120","5","8","16.666666666666668","1017.8","26","27",NULL
"3","2.9","16","0.8","4.2","WNW","ENE","SWELL","7.8","295","2024-11-02 15:10:00","100","5","7","16","1017.8","26","27",NULL
"3.2","3.2","16","0.6","4","NW","E","SWELL","8.1","306","2024-11-02 14:40:00","100","5","7","15.666666666666666","1018","26","27",NULL
"2.9","2.8","14.8","0.8","5.3","NW","E","SWELL","7.9","306","2024-11-02 14:10:00","110","6","7","15.333333333333334","1018","26",NULL,NULL
"3.2","3.1","16","0.6","4.2","NW","E","SWELL","8.1","313","2024-11-02 13:40:00","90","5","7","16","1018.2","26","27.1",NULL
"3.3","3.2","16","0.8","4.8","WNW","E","SWELL","8.8","300","2024-11-02 13:10:00","110","5","7","16","1018.4","26.1","27",NULL
"3.2","3.1","16","0.9","4.2","WNW","ENE","SWELL","8.2","302","2024-11-02 12:40:00","110","6","8","16","1018.5","26.2","27.1",NULL
"3.1","2.8","16","1.1","5.3","NW","E","SWELL","7.8","304","2024-11-02 12:10:00","100","6","8","16","1018.9","26.1","27.1",NULL
"3.2","2.9","16","1.2","5.9","WNW","E","SWELL","8.1","303","2024-11-02 11:40:00","110","7","9","16.333333333333332","1019.1","26.1","27.1",NULL
"3.4","3.1","17.4","1.3","5.6","NW","E","SWELL","8.6","307","2024-11-02 11:10:00","100","7","9","16.666666666666668","1019.2","26.2","27.1",NULL
"3.1","2.8","16","1.4","6.7","WNW","E","SWELL","8","296","2024-11-02 10:40:00","110","7","10","16","1019.2","26.2","27.1",NULL
"2.7","2.3","16","1.4","6.7","WNW","E","SWELL","7.4","298","2024-11-02 10:10:00","110","8","10","16","1019.5","26.3","27.1",NULL
"3.3","2.9","16","1.7","5.9","NW","E","SWELL","8.5","317","2024-11-02 09:40:00","100","8","10","16","1019.8","26.3","27.1",NULL
"3.1","2.4","16","1.8","7.7","WNW","E","SWELL","7.8","301","2024-11-02 09:10:00","100","9","11","16","1020","26.3","27.1",NULL
"3.1","2.6","16","1.7","7.1","NW","E","SWELL","8","316","2024-11-02 08:40:00","90","8","11","16","1020.2","26.4","27.1",NULL
"3.1","2.6","16","1.7","6.7","WNW","E","SWELL","7.9","297","2024-11-02 08:10:00","90","9","11","16","1020.3","26.4","27.1",NULL
"2.7","2","16","1.8","7.1","NW","E","SWELL","7.5","307","2024-11-02 07:40:00","90","9","11","16.333333333333332","1020.2","26.4","27.1",NULL
"2.9","2.3","17.4","1.8","6.7","NW","E","SWELL","7.6","308","2024-11-02 07:10:00","90","9","11","17","1020.1","26.4","27.1",NULL
"3.3","2.7","17.4","1.8","7.7","NW","E","SWELL","8.1","312","2024-11-02 06:40:00","90","8","11","16.666666666666668","1020.1","26.5","27.1",NULL
